location,present_name,borough,name,desc
Cross Bronx Expressway and Edison Avenue,None,Bronx,Rev. Howard Weaving Way," Rev. Howard Weaving (1915-1997) was on Community Planning Board 10 for 11 years, member of Bronx-Westchester YMCA for 14 years, Vice-Moderator of Presbytery and active in many of the Presbytery committees.  He also served as the Protestant Chaplain at the New York State Maritime Academy at Fort Schuyler"
Between Watson and Gleason Avenues,Commonwealth Avenue,Bronx,Rev. Isaiah J. Jones Blvd.," Reverend Jones (1924-2001) came to the United States from Antigua in the early 1960’s with his wife and three children.  Here he trained for his ministry. He started a small church on Kelly Street where he built a sizeable congregation.   He later moved to what is now The Bronx Deliverance Center, where his son is now the Pastor."
Between Vyse Avenue and Bryant Avenue,East 181st Street,Bronx,Rev. James B. Staggers Place," Rev. James B. Staggers (1925-2008) served as pastor of the New Tabernacle Baptist Church for thirty-eight years during which time he established a food pantry in the Church and opened clothing, drug and alcohol programs for the community."
Intersection of 173rd Street and Morris Avenue,None,Bronx,"Rev. Randolph Barnes, Jr. Place"," Randolph Barnes Jr. (1927-2002). founded the Mt. Gilead Baptist Church in 1959. In 1972 the church purchased its present location at 1682Moris Avenue. where it operates a day care center, a soup kitchen and other community programs that were established under Rev. Barnes’ leadership. "
Between Westchester Avenue and 156th Street,Hewitt Avenue,Bronx,Rev. Ricardo Tañon Avenue," In 1943 Rev. Tañon (1904-1998), born Puerto Rico, became pastor of a “store front” mission with 12 members—“Iglesia Cristiana Juan 3:16”—in 1943.   At his retirement on June 28, 1977, the “Iglesia Cristiana Juan 3:16” was the largest Hispanic church in the USA."
Between East 165th Street and East 166th Street,Washington Avenue,Bronx,Rev. Robert G. Lane Blvd., Rev. Robert G. Lane (1926-2009) organized the New Zion Pilgrim Baptist Church and was an active member of numerous Baptist  pastoral organizations as well as Community Board 3.
West 167th and West 168th Streets,Woodycrest Avenue,Bronx,Rev. Ruben Dario Colon Place," Ruben Dario Colon (1923-2000) became pastor of the Evangelical Lutheran Church of the Resurrection in 1959. In 1968, after occupying several moves, “Resurrection” found a home on Woodycrest Avenue where Pastor Colon lived and served until his retirement in October 1999.  "
Between East 169th Street and East 170th Street,Teller Avenue,Bronx,Rev. William E. Thompson Way," 
Rev. William E. Thompson founded the Community Church of Morrisania, the first African-American church in that community, in 1956.  Rev. Thompson was also a social worker at the City's Spofford Detention Center.  After retiring, he became a teacher at PS 53.  His church, located at 1325 Teller Avenue,  had many ministries including the Martin Luther King Jr. Ministry to teenagers.   He started a black history pictorial museum in the Parish House.  He founded the Project Survival Program,designed to help mothers in need of day care at an affordable price, as well as the Some Mothers Child Program, which assisted young adults with substance problems. (Gibson)

"
Between Watson Avenue and Westchester Avenue,Ward Avenue,Bronx,Reverend Clyde Hambrick Avenue," Reverend Clyde Hambrick (1928-2001) who had been a coal miner in his native West Virginia, became one of the first Afro-American computer programmers in New York City, working for the   United States Postal Service.  He was pastor of Green Pasture Baptist Church for the last 28 years of his life and an active civic leader, involved with drug counseling, a food pantry, and a homeless program.  "
Intersection of Homer Avenue and Castle Hill Avenue,None,Bronx,Reverend Dr. Jerry Mosby Way," Reverend Dr. Jerry Mosby (1947-2007) was the Pastor of the Fellowship Covenant Church, Community Chaplain for the 43rd Precinct and a retired Pastor for the Bronx Network Health and Hospital Corporation.  He was instrumental in  organizing hurricane relief drives in the community, notably for Hurricane Katrina."
Between Bronxwood Avenue and Barnes Avenue,East 224th Street,Bronx,Reverend Dr. Nathaniel Tyler-Lloyd Place," Reverend Doctor Nathaniel Tyler-Lloyd (1930-2002) became pastor of Trinity Baptist Church, one of the oldest African American churches in the Williamsbridge section of northeast Bronx, in 1960 and served it for 42 years until his death..  He was president of the Lott Carey Foreign Mission Convention from 1985 to 1989 and also served as Vice President of the Baptist World Alliance.  "
Bounded by Bouck Ave and Wilson Ave,Burke Ave,Bronx,Reverend Frank R Banks Lane," Reverend Banks (1906-1989), born in North Carolina, graduated from Manhattan Bible Institute.  After serving in the Army in World War II, he received further theological training and was ordained by Calvert Baptist Church in White Plains.  In 1961 he founded the Burke Avenue Baptist Church, which grew to a congregation of 1,500 during his 28 years of service.  He was also a leader in his community, in the NAACP, and in baptist denominational affairs."
Beyween Featherbed Lane and Edward L. Grant Highway,Jesup Avenue,Bronx,Reverend Isaac B. Crawford Avenue," Isaac Crawford (1948-1994) was born and raised in Brooklyn.  After serving in the US Air Force, he decided to enter the ministry.  He attended Virginia Union Seminary and was ordained in 1974. After serving congregations in Brooklyn and the Bronx, in 1986 he became minister of Mount Cella Baptist Church on Jesup Avenue, which he served until his death. "
Between East 168th and East 169th Streets,Teller Avenue,Bronx,Reverend Jerome A. Greene Place," Reverend Jerome Alexander Greene (1941-2004) was the Founder and President of the Bronx Unity Democratic Club, Inc. and a Pastor of the Bronx Christian Charismatic Prayer Fellowship, Inc.  "
On the corner of the Grand Concourse between 179th Street and East Burnside Avenue,Bush Street,Bronx,Reverend Jessie Woodhouse Place," Introduced by Council Member Baez September 11, 1908 – January 9, 2008  Pastor Woodhouse received many certificates and awards for her dedication and commitment to the church and her community. She is responsible for forming the First Bible Church of the Lord’s Mission and the Woodhouse Bible School for religious education."
Bounded by Ritter Place and Boston Road,Prospect Avenue,Bronx,Reverend Kenneth L Folkes Way," Reverend Folkes (1914-1990) came to the US from Jamaica in 1945.  He earned degrees from Shelton College and American Bible College,.  In 1956 he founded Mount Carmel Baptist Church and became an important advocate for the surrounding communities.  He received his D. D. degree from Virginia College in 1975.  In addition to being pastor of Mount Carmel, he was Protestant Chaplain of Lincoln Hospital, a past president of the New York Council of Churches and President of the Bronx Shepards Restoration Corp."
between Nereid Avenue and Barnes Lane,Boyd Avenue,Bronx,Reverend Theodore Wittrock Crossing," Reverend Theodore Wittrock (1920-2004) was installed in 1969 as Pastor of Redeemer Lutheran Church in The Bronx, where he served for 25 years.  In 1982, he was elected to f the Board of Regents of Concordia College in Bronxville, New York, where h served until 1991 In 1994 he was honored by the American Lutheran Publicity Bureau for “outstanding service” in the field of publicity and public relations for the Lutheran Church in the United States.  "
Northeast corner of White Plains Road and Gleason Avenue,None,Bronx,Reverend Wesley G. Janzen Place," Wesley G. Janzen (1941-1998) was a Pentecostal minister.  In 1986 he became minister of the Church of the Revelation, located at this corner, to which he devoted the rest of his life. "
Intersection of Bolton and Lafayette Avenues.,None,Bronx,Richard A. Daily Square ," Richard Albert Daily was born in the Bronx and graduated from Lehman College with BS in Psychology in 1979.  He was a hard working cittizen who betwen 1984 and 1992 held a variety of positions with the NYC Transit Authority and with the US Postal Service.  He also participated in many community activities including volunteering at the Police Athletic League's Lynch Cnter in the Bronx.  On July 8, 1992, Mr. Daily was killed while working as a token booth attendant.  "
Between Union Avenue and Tinton Avenue,East 166th Street,Bronx,"Richard Reed, Jr. Place"," Richard Reed, Jr. (d. 2005) retired after a 34 year career as a Recreation Director for the New York City Department of Parks and Recreation. He was one of the founders of the Bronx Foundation, a founder of the annual “Old Timers Day” and a former member of Community Boards 3, serving on its Quality of Life Committee."
At the intersection of 161st Street and River Avenue,None,Bronx,Rivera Avenue," Mariano Rivera played for the New York Yankees from 1995 to 2013.  A 13-time All-Star, he is also known for his philanthropy, donating more than $500,000 annually to underprivileged children in the United States and his home country of Panama.  (Arroyo)"
"Third Avenue, Willis Avenue and  East 148th Street ",None,Bronx,Roberto Clemente Plaza," Robert Clemente (1934-1972), a right fielder for the Pittsburgh Pirates, was a humanitarian as well as an outstanding baseball player.  He was regularly involved in charitable work in his native Puerto Rico and throughout Latin America.  He died in a plane crash while bringing aid to victims of the 1972 earthquake in Nicaragua."
